Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"stronglyConnectedComponents/Digraph [10]",1.3546520173943862e-5,1.3531106764215549e-5,1.3568556321980546e-5,9.39571715173512e-8,7.166724579499956e-8,1.2872834494156314e-7
"stronglyConnectedComponents/Containers [10]",3.164776674544451e-5,3.159840902683475e-5,3.1738429214699664e-5,3.333691945984353e-7,2.0924457092926205e-7,5.2014916452376e-7
"stronglyConnectedComponents/Graph.SCC [10]",2.4055668520430714e-5,2.402052562187116e-5,2.4107119249800845e-5,2.156196398219258e-7,1.5995660710066575e-7,3.0674733403011094e-7
"stronglyConnectedComponents/Digraph [100]",2.8937979548548645e-3,2.871863445577523e-3,2.9174538462733227e-3,1.1671500595452155e-4,9.881116719104695e-5,1.488637200695354e-4
"stronglyConnectedComponents/Containers [100]",6.388320129985613e-3,6.353823345775403e-3,6.422788303966324e-3,1.774655910964835e-4,1.6399694334373586e-4,1.9989137294887906e-4
"stronglyConnectedComponents/Graph.SCC [100]",4.023482403097056e-3,4.018326601323981e-3,4.031254848775763e-3,3.2052474405362695e-5,2.3398022547016963e-5,4.827249813114563e-5
"stronglyConnectedComponents/Digraph [1000]",0.482166988056774,0.47851715485441176,0.4859469215093801,1.914092485006849e-2,1.7881488649968913e-2,2.070198501661211e-2
"stronglyConnectedComponents/Containers [1000]",1.2730971233068655,1.2655168739973257,1.2805691520391655,3.8668694400198884e-2,3.474303299905643e-2,4.3987677503001296e-2
"stronglyConnectedComponents/Graph.SCC [1000]",0.6771407787023734,0.6717025033651542,0.6829482356725881,2.8842501281040753e-2,2.5049401123933137e-2,3.382452692713842e-2
"stronglyConnectedComponents/Digraph [2000]",2.079646999043103,2.062932275932903,2.103835548561687,0.10136737702975396,7.30604725054656e-2,0.15479764889261147
"stronglyConnectedComponents/Containers [2000]",5.319914790791148,5.29404949585783,5.34764326969969,0.1376240554536412,0.1216011146358843,0.16247968383017897
"stronglyConnectedComponents/Graph.SCC [2000]",3.282219990891093,3.265610191029186,3.301156305473918,9.065538735678681e-2,7.881173065586543e-2,0.11126283482822688
